CollegeName,CollegeUrl,CollegeLocation,Course1,Course1Fees,Course2,Course2Fees,CollegeRanking,CollegeRating
IIT Madras - Indian Institute of Technology - [IITM],https://zollege.in/university/185202-iit-madras-indian-institute-of-technology-iitm-chennai,"Chennai, Tamil Nadu | AICTE Accredited",BE/B.Tech,₹ 2.15 Lakhs,ME/M.Tech,₹ 31.85 K,NIRFranking 1 out of 200 in 2023,8.6/10 (20 Reviews)
IIMA - Indian Institute of Management,https://zollege.in/university/184815-iima-indian-institute-of-management-ahmedabad,"Ahmedabad, Gujarat | UGC Accredited",MBA/PGDM,₹ 25 Lakhs,Executive MBA,₹ 12 Lakhs,Financial Expressranking 2 out of 50 in 2019,
Piloo Mody College of Architecture - [PMCA],https://zollege.in/college/164971-piloo-mody-college-of-architecture-pmca-cuttack,"Cuttack, Orissa | COA Accredited",B.Arch,₹ 1.2 Lakhs,M.Arch,₹ 1.18 Lakhs,IIRFranking 28 out of 45 in 2024,7.7/10 (1 Reviews)
Indian Institute of Technology - [IIT],https://zollege.in/university/184776-indian-institute-of-technology-iit-new-delhi,"New Delhi, Delhi NCR",BE/B.Tech,₹ 2.55 Lakhs,ME/M.Tech,₹ 1.9 Lakhs,NIRFranking 3 out of 200 in 2023,8.5/10 (41 Reviews)
MIT World Peace University - [MIT-WPU],https://zollege.in/university/177737-mit-world-peace-university-mitwpu-pune,"Pune, Maharashtra | UGC Accredited",BE/B.Tech,₹ 3.15 Lakhs,ME/M.Tech,₹ 1.95 Lakhs,NIRFranking 151 out of 200 in 2022,8.1/10 (26 Reviews)
IIM Bangalore - Indian Institute of Management,https://zollege.in/university/184923-iim-bangalore-indian-institute-of-management-bangalore,"Bangalore, Karnataka | AICTE, UGC Accredited",MBA/PGDM,₹ 23 Lakhs,Executive MBA,₹ 27.5 Lakhs,Financial Expressranking 1 out of 50 in 2019,8.7/10 (1 Reviews)
Lovely Professional University - [LPU],https://zollege.in/university/185108-lovely-professional-university-lpu-jalandhar,"Jalandhar, Punjab | NCTE, COA, PCI, IAP, BCI Accredited",B.Sc,₹ 1.6 Lakhs,M.Sc,₹ 1.6 Lakhs,NIRFranking 38 out of 201 in 2023,8/10 (193 Reviews)
IIT Bombay - Indian Institute of Technology - [IITB],https://zollege.in/university/185024-iit-bombay-indian-institute-of-technology-iitb-mumbai,"Mumbai, Maharashtra | AICTE, UGC Accredited",BE/B.Tech,₹ 2.31 Lakhs,ME/M.Tech,₹ 66.7 K,NIRFranking 4 out of 200 in 2023,8.9/10 (28 Reviews)
Thapar School of Liberal Arts & Sciences - [TSLAS],https://zollege.in/college/220061-thapar-school-of-liberal-arts-and-sciences-tslas-patiala,"Patiala, Punjab",BBA/BBM,No Fees Found,,,,
All India Institute of Medical Sciences - [AIIMS],https://zollege.in/university/184767-all-india-institute-of-medical-sciences-aiims-new-delhi,"New Delhi, Delhi NCR | MCI, UGC Accredited",B.Sc (Medicine),₹ 1.15 K,M.Sc (Medicine),₹ 1.47 K,NIRFranking 6 out of 200 in 2023,8.9/10 (5 Reviews)
University of Petroleum and Energy Studies - [UPES],https://zollege.in/university/185318-university-of-petroleum-and-energy-studies-upes-dehradun,"Dehradun, Uttarakhand | BCI, UGC, AIU Accredited",BE/B.Tech,₹ 16.05 Lakhs,ME/M.Tech,₹ 3.28 Lakhs,NIRFranking 52 out of 201 in 2023,7.5/10 (25 Reviews)
IIT Kanpur - Indian Institute of Technology - [IITK],https://zollege.in/university/185269-iit-kanpur-indian-institute-of-technology-iitk-kanpur,"Kanpur, Uttar Pradesh | UGC Accredited",BE/B.Tech,₹ 2.29 Lakhs,ME/M.Tech,₹ 39.97 K,NIRFranking 5 out of 200 in 2023,8.6/10 (40 Reviews)
LISAA School Of Design,https://zollege.in/college/218792-lisaa-school-of-design-bangalore,"Bangalore, Karnataka | UGC Accredited",Diploma in Design,₹ 1.65 Lakhs,PG Diploma in Design,₹ 2.75 Lakhs,,
Indian Institute of Management - [IIMC],https://zollege.in/university/185327-indian-institute-of-management-iimc-kolkata,"Kolkata, West Bengal | UGC, AACSB, AMBA Accredited",Graduate Certificate in Management,₹ 3.9 Lakhs,MBA/PGDM,₹ 31 Lakhs,NIRFranking 99 out of 200 in 2023,
Vogue Institute of Art and Design - [VIAD],https://zollege.in/college/165253-vogue-institute-of-art-and-design-viad-bangalore,"Bangalore, Karnataka | UGC Accredited",Diploma in Design,₹ 95.58 K,Graduate Diploma in Design,₹ 1.59 Lakhs,ranking 14 out of 25 in 2023,
IIT Roorkee - Indian Institute of Technology - [IITR],https://zollege.in/university/185313-iit-roorkee-indian-institute-of-technology-iitr-roorkee,"Roorkee, Uttarakhand | AICTE, UGC Accredited",BE/B.Tech,₹ 2.3 Lakhs,ME/M.Tech,₹ 40.1 K,NIRFranking 8 out of 200 in 2023,8.3/10 (55 Reviews)
LM Thapar School of Management - [LMTSM],https://zollege.in/college/216523-lm-thapar-school-of-management-lmtsm-chandigarh,"Chandigarh, Chandigarh | AICTE, AACSB Accredited",MBA/PGDM,₹ 5.22 Lakhs,M.Phil/Ph.D in Management,₹ 2.09 Lakhs,,
IIMK - Indian Institute of Management,https://zollege.in/university/184962-iimk-indian-institute-of-management-kozhikode,"Kozhikode, Kerala | AACSB, AMBA Accredited",MBA/PGDM,₹ 20.5 Lakhs,Graduate Diploma in Management,₹ 25 K,NIRFranking 79 out of 200 in 2022,
Institute of Technology and Management - [ITM],https://zollege.in/college/219181-institute-of-technology-and-management-itm-dehradun,"Dehradun, Uttarakhand",BA,₹ 53 K,BFA,₹ 88 K,,4.5/10 (1 Reviews)
IIT Kharagpur - Indian Institute of Technology - [IITKGP],https://zollege.in/university/185328-iit-kharagpur-indian-institute-of-technology-iitkgp-kharagpur,"Kharagpur, West Bengal | AICTE, UGC Accredited",BE/B.Tech,₹ 2.24 Lakhs,ME/M.Tech,₹ 27.65 K,NIRFranking 7 out of 200 in 2023,8.6/10 (81 Reviews)
