CollegeName,CollegeName Url,CollegeLocation,Course1,Course1 Fees,Course2,Course2 Fees,NirfRanking,Ratings
IIT Madras - Indian Institute of Technology - [IITM],https://zollege.in/university/185202-iit-madras-indian-institute-of-technology-iitm-chennai,"Chennai, Tamil Nadu | AICTE Accredited",BE/B.Tech - Bachelor of Technology,₹ 2.15 Lakhs,B.Sc - Bachelor of Science,₹ 2.1 Lakhs,NIRFranking 1 out of 200 in 2023,8.6/10 (19 Reviews)
IIMA - Indian Institute of Management,https://zollege.in/university/184815-iima-indian-institute-of-management-ahmedabad,"Ahmedabad, Gujarat | UGC Accredited",Executive MBA - Master of Business Administration,₹ 12 Lakhs,MBA/PGDM - Master of Business Administration,₹ 33 Lakhs,Financial Expressranking 2 out of 50 in 2019,
Piloo Mody College of Architecture - [PMCA],https://zollege.in/college/164971-piloo-mody-college-of-architecture-pmca-cuttack,"Cuttack, Orissa | COA Accredited",,No Fees Found,,,IIRFranking 28 out of 45 in 2024,7.7/10 (1 Reviews)
Indian Institute of Technology - [IIT],https://zollege.in/university/184776-indian-institute-of-technology-iit-new-delhi,"New Delhi, Delhi NCR",BE/B.Tech - Bachelor of Technology,₹ 2.55 Lakhs,,,NIRFranking 3 out of 200 in 2023,8.5/10 (39 Reviews)
MIT World Peace University - [MIT-WPU],https://zollege.in/university/177737-mit-world-peace-university-mitwpu-pune,"Pune, Maharashtra | UGC Accredited",,No Fees Found,,,NIRFranking 151 out of 200 in 2022,8.1/10 (26 Reviews)
IIM Bangalore - Indian Institute of Management,https://zollege.in/university/184923-iim-bangalore-indian-institute-of-management-bangalore,"Bangalore, Karnataka | AICTE, UGC Accredited",Executive MBA - Master of Business Administration,₹ 27.5 Lakhs,,,Financial Expressranking 1 out of 50 in 2019,8.7/10 (1 Reviews)
Lovely Professional University - [LPU],https://zollege.in/university/185108-lovely-professional-university-lpu-jalandhar,"Jalandhar, Punjab | NCTE, COA, PCI, IAP, BCI Accredited",,No Fees Found,,,NIRFranking 38 out of 201 in 2023,8/10 (190 Reviews)
IIT Bombay - Indian Institute of Technology - [IITB],https://zollege.in/university/185024-iit-bombay-indian-institute-of-technology-iitb-mumbai,"Mumbai, Maharashtra | AICTE, UGC Accredited",BE/B.Tech - Bachelor of Technology,₹ 2.31 Lakhs,ME/M.Tech - Master of Technology,₹ 66.7 K,NIRFranking 4 out of 200 in 2023,9/10 (26 Reviews)
Thapar School of Liberal Arts & Sciences - [TSLAS],https://zollege.in/college/220061-thapar-school-of-liberal-arts-and-sciences-tslas-patiala,"Patiala, Punjab",,No Fees Found,,,,
All India Institute of Medical Sciences - [AIIMS],https://zollege.in/university/184767-all-india-institute-of-medical-sciences-aiims-new-delhi,"New Delhi, Delhi NCR | MCI, UGC Accredited",B.Sc Medicine - Bachelor of Science,₹ 1.15 K,B.Sc Nursing - Bachelor of Science,₹ 1.69 K,NIRFranking 6 out of 200 in 2023,8.9/10 (5 Reviews)
University of Petroleum and Energy Studies - [UPES],https://zollege.in/university/185318-university-of-petroleum-and-energy-studies-upes-dehradun,"Dehradun, Uttarakhand | BCI, UGC, AIU Accredited",,No Fees Found,,,NIRFranking 52 out of 201 in 2023,7.4/10 (22 Reviews)
IIT Kanpur - Indian Institute of Technology - [IITK],https://zollege.in/university/185269-iit-kanpur-indian-institute-of-technology-iitk-kanpur,"Kanpur, Uttar Pradesh | UGC Accredited",BE/B.Tech - Bachelor of Technology,₹ 2.29 Lakhs,M.Sc - Master of Science,₹ 35.2 K,NIRFranking 5 out of 200 in 2023,8.6/10 (39 Reviews)
LISAA School Of Design,https://zollege.in/college/218792-lisaa-school-of-design-bangalore,"Bangalore, Karnataka | UGC Accredited",,No Fees Found,,,,
Indian Institute of Management - [IIMC],https://zollege.in/university/185327-indian-institute-of-management-iimc-kolkata,"Kolkata, West Bengal | UGC, AACSB, AMBA Accredited",M.Phil/Ph.D in Management,No Fees Found,M.Phil/Ph.D in Arts,No Fees Found,NIRFranking 99 out of 200 in 2023,
Vogue Institute of Art and Design - [VIAD],https://zollege.in/college/165253-vogue-institute-of-art-and-design-viad-bangalore,"Bangalore, Karnataka | UGC Accredited",,No Fees Found,,,ranking 14 out of 25 in 2023,
IIT Roorkee - Indian Institute of Technology - [IITR],https://zollege.in/university/185313-iit-roorkee-indian-institute-of-technology-iitr-roorkee,"Roorkee, Uttarakhand | AICTE, UGC Accredited",BE/B.Tech - Bachelor of Technology,₹ 2.3 Lakhs,M.Sc - Master of Science,₹ 36.1 K,NIRFranking 8 out of 200 in 2023,8.3/10 (55 Reviews)
LM Thapar School of Management - [LMTSM],https://zollege.in/college/216523-lm-thapar-school-of-management-lmtsm-chandigarh,"Chandigarh, Chandigarh | AICTE, AACSB Accredited",,No Fees Found,,,,
IIMK - Indian Institute of Management,https://zollege.in/university/184962-iimk-indian-institute-of-management-kozhikode,"Kozhikode, Kerala | AACSB, AMBA Accredited",MBA/PGDM - Master of Business Administration,₹ 20.5 Lakhs,Graduate Certificate in Management,₹ 2.5 Lakhs,NIRFranking 79 out of 200 in 2022,
Institute of Technology and Management - [ITM],https://zollege.in/college/219181-institute-of-technology-and-management-itm-dehradun,"Dehradun, Uttarakhand",,No Fees Found,,,,4.5/10 (1 Reviews)
